"","Survey","Year","Cruise.Join.ID","Haul.Join.ID","Catch.Join.ID","Vessel.Number","Cruise.Number","Haul.Number","Starting.Latitude..dd.","Starting.Longitude..dd.","Ending.Latitude..dd.","Ending.Longitude..dd.","Stratum","Stratum.INPFC.Area","Stratum.Min.Depth..m.","Stratum.Max.Depth..m.","Stratum.Description","Stratum.Regulatory.Area.Name","Stratum.Type","Domain","Density","Gear.Performance","Satisfactory.Gear.Performance","Gear.Performance.Note","Gear.Depth","Bottom.Depth","Surface.Temperature","Gear.Temperature","Distance.Fished..km.","Net.Width..m.","Species.Code","Common.Name","Scientific.Name","Weight..kg.","Number.of.Fish","Effort..km2.","Weight.CPUE..kg.km2.","Number.CPUE..number.km2.","akfin_load_date"
"1","GOA",2013,-687,-10436,NA,176,201301,187,57.20383,-152.98593,57.21009,-152.96476,30,"Kodiak",1,100,"Albatross Shallows","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",121,127,9.4,5.5,1.462,14.706,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.021500172,0,0,"29-Sep-21"
"2","GOA",2013,-687,-10697,-289681,176,201301,219,57.90112,-149.24019,57.90196,-149.26444,430,"Kodiak",501,700,"Kodiak Slope","CENTRAL GOA","SLOPE",NA,NA,0,"Y","Good performance",519,523,12.4,4.1,1.448,18.823,30060,"Pacific ocean perch","Sebastes alutus",0.79,1,0.027255704,28.98475857,36.68956781,"29-Sep-21"
"3","GOA",2009,-638,-5100,-142519,159,200901,135,56.00451,-154.90401,55.99228,-154.9099,122,"Chirikof",101,200,"Chirikof Outer Shelf","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",145,151,8,4.9,1.438,15.008,30060,"Pacific ocean perch","Sebastes alutus",1553.848,2242,0.021581504,71999.05994,103885.2529,"29-Sep-21"
"4","GOA",2009,-638,-5486,NA,159,200901,157,57.37965,-152.5235,57.37243,-152.5005,30,"Kodiak",1,100,"Albatross Shallows","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",79,87,7.4,5.8,1.62,14.994,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.02429028,0,0,"29-Sep-21"
"5","GOA",2009,-638,-5489,NA,159,200901,160,57.21524,-151.8311,57.22195,-151.8051,31,"Kodiak",1,100,"Albatross Banks","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",51,58,9.5,6.5,1.769,14.942,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.026432398,0,0,"29-Sep-21"
"6","GOA",2011,-668,-7725,NA,148,201101,163,56.99195,-153.46105,56.97962,-153.46945,30,"Kodiak",1,100,"Albatross Shallows","CENTRAL GOA","SHELF",NA,NA,0,"Y","Good performance",124,131,9.6,4.8,1.465,15.68,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.0229712,0,0,"29-Sep-21"
"7","GOA",2011,-668,-8294,NA,148,201101,182,57.27067,-151.56515,57.282,-151.56153,31,"Kodiak",1,100,"Albatross Banks","CENTRAL GOA","SHELF",NA,NA,1.12,"Y","Hauled back early due to hang(s)",60,67,9.4,6.4,1.287,15.175,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.019530225,0,0,"29-Sep-21"
"8","GOA",2013,-687,-10721,NA,176,201301,243,59.43154,-147.04269,59.42458,-147.02211,230,"Kodiak",201,300,"Kenai Gullies","CENTRAL GOA","GULLY",NA,NA,0,"Y","Good performance",205,210,13.2,5.3,1.431,16.128,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.023079168,0,0,"29-Sep-21"
"9","GOA",2013,-687,-10724,NA,176,201301,246,59.54545,-146.25416,59.55042,-146.27935,41,"Yakutat",1,100,"Middleton Shallows","EASTERN GOA","SHELF",NA,NA,0,"Y","Good performance",91,94,12.6,5.8,1.537,15.726,30060,"Pacific ocean perch","Sebastes alutus",0,0,0.024170862,0,0,"29-Sep-21"
"10","GOA",2013,-687,-10730,-290636,176,201301,252,59.50494,-145.33331,59.49984,-145.30869,140,"Yakutat",101,200,"Middleton Shelf","EASTERN GOA","SHELF",NA,NA,0,"Y","Good performance",130,137,15.5,5.7,1.513,16.041,30060,"Pacific ocean perch","Sebastes alutus",0.076,1,0.024270033,3.131433731,41.20307541,"29-Sep-21"
