"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1984","Stratum_1"," [kg]",25249228.4154703,4673509.22221475,0.185095130247674
"1","1985","Stratum_1"," [kg]",0,0,0
"1","1986","Stratum_1"," [kg]",0,0,0
"1","1987","Stratum_1"," [kg]",102305529.251785,16722062.3795014,0.16345218583784
"1","1988","Stratum_1"," [kg]",0,0,0
"1","1989","Stratum_1"," [kg]",0,0,0
"1","1990","Stratum_1"," [kg]",64137008.3049949,15811029.0330508,0.246519590652929
"1","1991","Stratum_1"," [kg]",0,0,0
"1","1992","Stratum_1"," [kg]",0,0,0
"1","1993","Stratum_1"," [kg]",73704985.4430677,14214270.2865988,0.192853579729398
"1","1994","Stratum_1"," [kg]",0,0,0
"1","1995","Stratum_1"," [kg]",0,0,0
"1","1996","Stratum_1"," [kg]",104841301.072715,20831125.924872,0.198691982183855
"1","1997","Stratum_1"," [kg]",0,0,0
"1","1998","Stratum_1"," [kg]",0,0,0
"1","1999","Stratum_1"," [kg]",103139741.335748,22087842.5318016,0.214154527108029
"1","2000","Stratum_1"," [kg]",0,0,0
"1","2001","Stratum_1"," [kg]",215658614.230082,58540347.8642735,0.271449151582779
"1","2002","Stratum_1"," [kg]",0,0,0
"1","2003","Stratum_1"," [kg]",43441862.2780934,8914985.73825177,0.205216472562397
"1","2004","Stratum_1"," [kg]",0,0,0
"1","2005","Stratum_1"," [kg]",233434671.801485,48114669.2655703,0.206116207563577
"1","2006","Stratum_1"," [kg]",0,0,0
"1","2007","Stratum_1"," [kg]",170732612.761577,39449851.9436552,0.231062193130881
"1","2008","Stratum_1"," [kg]",0,0,0
"1","2009","Stratum_1"," [kg]",53547942.0572102,10631180.9051465,0.198535751267308
"1","2010","Stratum_1"," [kg]",0,0,0
"1","2011","Stratum_1"," [kg]",100896902.268385,27016635.7403242,0.267764769115112
"1","2012","Stratum_1"," [kg]",0,0,0
"1","2013","Stratum_1"," [kg]",227965007.88856,61989787.9409084,0.271926768564462
"1","2014","Stratum_1"," [kg]",0,0,0
"1","2015","Stratum_1"," [kg]",43678754.1760053,10461783.8171205,0.239516534170466
"1","2016","Stratum_1"," [kg]",0,0,0
"1","2017","Stratum_1"," [kg]",86214396.0673503,21561992.6990121,0.250097358243605
"1","2018","Stratum_1"," [kg]",0,0,0
"1","2019","Stratum_1"," [kg]",66436548.0590582,18038804.9086653,0.27151929827284
"1","2020","Stratum_1"," [kg]",0,0,0
"1","2021","Stratum_1"," [kg]",48968787.1639351,14347862.0609962,0.293000151565183
