"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1984","Stratum_1"," [kg]",729987972.814152,84491339.4234625,0.115743467796795
"1","1985","Stratum_1"," [kg]",0,0,0
"1","1986","Stratum_1"," [kg]",0,0,0
"1","1987","Stratum_1"," [kg]",627349787.200653,81738678.3126364,0.130292031623011
"1","1988","Stratum_1"," [kg]",0,0,0
"1","1989","Stratum_1"," [kg]",0,0,0
"1","1990","Stratum_1"," [kg]",868262819.40401,92953270.1167061,0.107056605487853
"1","1991","Stratum_1"," [kg]",0,0,0
"1","1992","Stratum_1"," [kg]",0,0,0
"1","1993","Stratum_1"," [kg]",614579601.517071,61218146.7164235,0.0996097927189714
"1","1994","Stratum_1"," [kg]",0,0,0
"1","1995","Stratum_1"," [kg]",0,0,0
"1","1996","Stratum_1"," [kg]",683603535.517643,72103590.9479761,0.105475743178211
"1","1997","Stratum_1"," [kg]",0,0,0
"1","1998","Stratum_1"," [kg]",0,0,0
"1","1999","Stratum_1"," [kg]",429232780.608423,67332092.8906782,0.156866148003042
"1","2000","Stratum_1"," [kg]",0,0,0
"1","2001","Stratum_1"," [kg]",189119964.608138,24957582.4653935,0.131966937055568
"1","2002","Stratum_1"," [kg]",0,0,0
"1","2003","Stratum_1"," [kg]",392111859.692868,43881744.6156755,0.111911291461694
"1","2004","Stratum_1"," [kg]",0,0,0
"1","2005","Stratum_1"," [kg]",322105438.183067,35133897.5303783,0.109075766396748
"1","2006","Stratum_1"," [kg]",0,0,0
"1","2007","Stratum_1"," [kg]",254812280.214662,24524676.9072905,0.0962460556713755
"1","2008","Stratum_1"," [kg]",0,0,0
"1","2009","Stratum_1"," [kg]",644464559.998204,72469877.4576257,0.112449748141042
"1","2010","Stratum_1"," [kg]",0,0,0
"1","2011","Stratum_1"," [kg]",619359614.013929,58857203.1723196,0.0950291266020388
"1","2012","Stratum_1"," [kg]",0,0,0
"1","2013","Stratum_1"," [kg]",945312955.027575,119189604.756736,0.12608481045651
"1","2014","Stratum_1"," [kg]",0,0,0
"1","2015","Stratum_1"," [kg]",693430666.082914,68866313.2547525,0.0993124714887041
"1","2016","Stratum_1"," [kg]",0,0,0
"1","2017","Stratum_1"," [kg]",211464040.683707,35487868.848694,0.167819874877801
"1","2018","Stratum_1"," [kg]",0,0,0
"1","2019","Stratum_1"," [kg]",229040811.289429,23288814.5841197,0.10167975939751
"1","2020","Stratum_1"," [kg]",0,0,0
"1","2021","Stratum_1"," [kg]",516637768.863263,58904277.576619,0.114014656160783
