Area,Gear,Year,C,U,P,ln_U
SE-AK-Inside (US),Fixed,1976,3263,42.1,0.77,3.740047741
SE-AK-Inside (US),Fixed,1977,1641,37.7,0.71,3.629660094
SE-AK-Inside (US),Fixed,1978,2045,46.3,0.77,3.835141961
SE-AK-Inside (US),Fixed,1979,2696,77.5,0.76,4.350277936
SE-AK-Inside (US),Fixed,1980,2242,75.3,0.87,4.321480135
SE-AK-Inside (US),Fixed,1981,2892,139,0.75,4.934473933
SE-AK-Inside (US),Fixed,1982,2313,193.1,0.5,5.263208189
SE-AK-Inside (US),Snap,1976,,32.417,,3.478682977
SE-AK-Inside (US),Snap,1977,,26.767,,3.287169786
SE-AK-Inside (US),Snap,1978,,35.651,,3.573777197
SE-AK-Inside (US),Snap,1979,,58.9,,4.075841091
SE-AK-Inside (US),Snap,1980,,65.511,,4.182218067
SE-AK-Inside (US),Snap,1981,,104.25,,4.646791861
SE-AK-Inside (US),Snap,1982,,96.55,,4.570061009
Kodiak (US),Fixed,1976,5540,59.4,0.68,4.084294226
Kodiak (US),Fixed,1977,5141,63.3,0.64,4.147885329
Kodiak (US),Fixed,1978,5961,76.3,0.61,4.334672938
Kodiak (US),Fixed,1979,6032,76.1,0.55,4.332048265
Kodiak (US),Fixed,1980,5304,137.2,0.43,4.921439715
Kodiak (US),Fixed,1981,8974,149.6,0.75,5.007965066
Kodiak (US),Fixed,1982,9670,191.4,0.63,5.254365479
Kodiak (US),Snap,1976,,40.392,,3.698631746
Kodiak (US),Snap,1977,,40.512,,3.701598227
Kodiak (US),Snap,1978,,46.543,,3.840376616
Kodiak (US),Snap,1979,,41.855,,3.734211264
Kodiak (US),Snap,1980,,58.996,,4.077469645
Kodiak (US),Snap,1981,,112.2,,4.720282993
Kodiak (US),Snap,1982,,120.582,,4.792330019
