"","Area","Gear","Year","C","U","P","ln_U","fArea","fGear","fYear","pred_ln_U"
"1","SE-AK-Inside (US)","Fixed",1976,3263,42.1,0.77,3.740047741,"SE-AK-Inside (US)","Fixed","1976",3.85822770671428
"2","SE-AK-Inside (US)","Fixed",1977,1641,37.7,0.71,3.629660094,"SE-AK-Inside (US)","Fixed","1977",3.79939189321428
"3","SE-AK-Inside (US)","Fixed",1978,2045,46.3,0.77,3.835141961,"SE-AK-Inside (US)","Fixed","1978",4.00380571221428
"4","SE-AK-Inside (US)","Fixed",1979,2696,77.5,0.76,4.350277936,"SE-AK-Inside (US)","Fixed","1979",4.23090817321428
"5","SE-AK-Inside (US)","Fixed",1980,2242,75.3,0.87,4.321480135,"SE-AK-Inside (US)","Fixed","1980",4.48346542471428
"6","SE-AK-Inside (US)","Fixed",1981,2892,139,0.75,4.934473933,"SE-AK-Inside (US)","Fixed","1981",4.93519199746428
"7","SE-AK-Inside (US)","Fixed",1982,2313,193.1,0.5,5.263208189,"SE-AK-Inside (US)","Fixed","1982",5.07780470821428
"8","SE-AK-Inside (US)","Snap",1976,NA,32.417,NA,3.478682977,"SE-AK-Inside (US)","Snap","1976",3.44554781321428
"9","SE-AK-Inside (US)","Snap",1977,NA,26.767,NA,3.287169786,"SE-AK-Inside (US)","Snap","1977",3.38671199971428
"10","SE-AK-Inside (US)","Snap",1978,NA,35.651,NA,3.573777197,"SE-AK-Inside (US)","Snap","1978",3.59112581871428
"11","SE-AK-Inside (US)","Snap",1979,NA,58.9,NA,4.075841091,"SE-AK-Inside (US)","Snap","1979",3.81822827971428
"12","SE-AK-Inside (US)","Snap",1980,NA,65.511,NA,4.182218067,"SE-AK-Inside (US)","Snap","1980",4.07078553121428
"13","SE-AK-Inside (US)","Snap",1981,NA,104.25,NA,4.646791861,"SE-AK-Inside (US)","Snap","1981",4.52251210396428
"14","SE-AK-Inside (US)","Snap",1982,NA,96.55,NA,4.570061009,"SE-AK-Inside (US)","Snap","1982",4.66512481471428
"15","Kodiak (US)","Fixed",1976,5540,59.4,0.68,4.084294226,"Kodiak (US)","Fixed","1976",4.05528053178571
"16","Kodiak (US)","Fixed",1977,5141,63.3,0.64,4.147885329,"Kodiak (US)","Fixed","1977",3.99644471828571
"17","Kodiak (US)","Fixed",1978,5961,76.3,0.61,4.334672938,"Kodiak (US)","Fixed","1978",4.20085853728571
"18","Kodiak (US)","Fixed",1979,6032,76.1,0.55,4.332048265,"Kodiak (US)","Fixed","1979",4.42796099828571
"19","Kodiak (US)","Fixed",1980,5304,137.2,0.43,4.921439715,"Kodiak (US)","Fixed","1980",4.68051824978571
"20","Kodiak (US)","Fixed",1981,8974,149.6,0.75,5.007965066,"Kodiak (US)","Fixed","1981",5.13224482253571
"21","Kodiak (US)","Fixed",1982,9670,191.4,0.63,5.254365479,"Kodiak (US)","Fixed","1982",5.27485753328571
"22","Kodiak (US)","Snap",1976,NA,40.392,NA,3.698631746,"Kodiak (US)","Snap","1976",3.64260063828571
"23","Kodiak (US)","Snap",1977,NA,40.512,NA,3.701598227,"Kodiak (US)","Snap","1977",3.58376482478571
"24","Kodiak (US)","Snap",1978,NA,46.543,NA,3.840376616,"Kodiak (US)","Snap","1978",3.78817864378571
"25","Kodiak (US)","Snap",1979,NA,41.855,NA,3.734211264,"Kodiak (US)","Snap","1979",4.01528110478571
"26","Kodiak (US)","Snap",1980,NA,58.996,NA,4.077469645,"Kodiak (US)","Snap","1980",4.26783835628571
"27","Kodiak (US)","Snap",1981,NA,112.2,NA,4.720282993,"Kodiak (US)","Snap","1981",4.71956492903571
"28","Kodiak (US)","Snap",1982,NA,120.582,NA,4.792330019,"Kodiak (US)","Snap","1982",4.86217763978571
