"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [kg]",2449229311.25889,213967146.540746,0.0873610100765812
"1","1983","Stratum_1"," [kg]",5867838516.40035,498128143.847441,0.0848912495555553
"1","1984","Stratum_1"," [kg]",4251542178.50119,395604606.195073,0.0930496722331793
"1","1985","Stratum_1"," [kg]",4553661004.33974,430355572.66537,0.094507599984986
"1","1986","Stratum_1"," [kg]",4362237315.27783,390183001.122581,0.0894456153854917
"1","1987","Stratum_1"," [kg]",4452015642.93132,393790624.310379,0.0884522103905047
"1","1988","Stratum_1"," [kg]",6523486014.22241,625319869.868416,0.0958567042996801
"1","1989","Stratum_1"," [kg]",5975867325.00496,514555544.084857,0.0861055836918918
"1","1990","Stratum_1"," [kg]",6434876200.36286,667034163.610759,0.103659206928199
"1","1991","Stratum_1"," [kg]",4508801676.64559,401290378.23277,0.089001558953313
"1","1992","Stratum_1"," [kg]",4220289434.83491,386125056.314091,0.0914925533606667
"1","1993","Stratum_1"," [kg]",5152291245.33427,422996527.366387,0.0820987221460815
"1","1994","Stratum_1"," [kg]",4480920608.44451,391308639.258587,0.0873277331718725
"1","1995","Stratum_1"," [kg]",4143826728.26145,375908667.819818,0.0907153441663163
"1","1996","Stratum_1"," [kg]",2720018952.70499,211869043.009649,0.0778924877707013
"1","1997","Stratum_1"," [kg]",3116692821.5663,249982247.145187,0.0802075345428358
"1","1998","Stratum_1"," [kg]",2357080997.5996,195084846.998106,0.0827654404735248
"1","1999","Stratum_1"," [kg]",3290571046.85209,309698711.602255,0.094117011057557
"1","2000","Stratum_1"," [kg]",4456435062.96565,367962184.577189,0.0825687302469787
"1","2001","Stratum_1"," [kg]",3758863660.79782,307893575.781136,0.0819113443757589
"1","2002","Stratum_1"," [kg]",4342134999.75613,336314907.629577,0.077453811926268
"1","2003","Stratum_1"," [kg]",6524993202.2004,537435012.563885,0.0823656049760554
"1","2004","Stratum_1"," [kg]",3656012127.80127,292565798.957239,0.0800232025305637
"1","2005","Stratum_1"," [kg]",4359110381.39818,372989874.740427,0.0855655952948801
"1","2006","Stratum_1"," [kg]",2685921054.72124,223872320.015242,0.0833502978882145
"1","2007","Stratum_1"," [kg]",3660324495.01737,370683624.188989,0.101270700096011
"1","2008","Stratum_1"," [kg]",2648320104.24422,264098900.548818,0.0997231792809223
"1","2009","Stratum_1"," [kg]",1889940409.6103,210181830.617295,0.111210824187115
"1","2010","Stratum_1"," [kg]",3254184364.43309,324799635.844017,0.0998098446400101
"1","2011","Stratum_1"," [kg]",2778088103.47152,240367955.807547,0.0865227980016838
"1","2012","Stratum_1"," [kg]",3152464084.27617,252215664.068256,0.0800058802656167
"1","2013","Stratum_1"," [kg]",4205199811.05885,373046697.780944,0.0887108138833035
"1","2014","Stratum_1"," [kg]",7260854381.38483,552100515.911545,0.0760379546141299
"1","2015","Stratum_1"," [kg]",5993694346.19134,424243013.032623,0.0707815561703118
"1","2016","Stratum_1"," [kg]",4473956090.97841,332429710.403778,0.0743033019644767
"1","2017","Stratum_1"," [kg]",4657630236.01304,340197238.066728,0.0730408428381252
"1","2018","Stratum_1"," [kg]",2669675703.94053,222151314.588887,0.0832128465120257
"1","2019","Stratum_1"," [kg]",5093503469.53843,397931878.371495,0.078125376914204
"1","2020","Stratum_1"," [kg]",0,0,0
"1","2021","Stratum_1"," [kg]",2816191086.61137,224677701.388971,0.0797807018341636
