"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1984","Stratum_1"," [kg]",729987972.929526,84491339.4448791,0.11574346780784
"1","1985","Stratum_1"," [kg]",0,0,0
"1","1986","Stratum_1"," [kg]",0,0,0
"1","1987","Stratum_1"," [kg]",627349787.398509,81738678.3620909,0.130292031660749
"1","1988","Stratum_1"," [kg]",0,0,0
"1","1989","Stratum_1"," [kg]",0,0,0
"1","1990","Stratum_1"," [kg]",868262819.723912,92953270.1720843,0.10705660551219
"1","1991","Stratum_1"," [kg]",0,0,0
"1","1992","Stratum_1"," [kg]",0,0,0
"1","1993","Stratum_1"," [kg]",614579601.624291,61218146.723357,0.0996097927128751
"1","1994","Stratum_1"," [kg]",0,0,0
"1","1995","Stratum_1"," [kg]",0,0,0
"1","1996","Stratum_1"," [kg]",683603535.442542,72103590.9426525,0.105475743182011
"1","1997","Stratum_1"," [kg]",0,0,0
"1","1998","Stratum_1"," [kg]",0,0,0
"1","1999","Stratum_1"," [kg]",429232780.620271,67332092.8741317,0.156866147960163
"1","2000","Stratum_1"," [kg]",0,0,0
"1","2001","Stratum_1"," [kg]",189119964.897556,24957582.5090167,0.131966937084279
"1","2002","Stratum_1"," [kg]",0,0,0
"1","2003","Stratum_1"," [kg]",392111859.802153,43881744.6253524,0.111911291455182
"1","2004","Stratum_1"," [kg]",0,0,0
"1","2005","Stratum_1"," [kg]",322105438.158521,35133897.5209099,0.109075766375665
"1","2006","Stratum_1"," [kg]",0,0,0
"1","2007","Stratum_1"," [kg]",254812279.998948,24524676.8687471,0.0962460556015917
"1","2008","Stratum_1"," [kg]",0,0,0
"1","2009","Stratum_1"," [kg]",644464560.180971,72469877.4705993,0.112449748129283
"1","2010","Stratum_1"," [kg]",0,0,0
"1","2011","Stratum_1"," [kg]",619359613.998852,58857203.1558895,0.0950291265778248
"1","2012","Stratum_1"," [kg]",0,0,0
"1","2013","Stratum_1"," [kg]",945312955.304582,119189604.777862,0.126084810441912
"1","2014","Stratum_1"," [kg]",0,0,0
"1","2015","Stratum_1"," [kg]",693430666.371254,68866313.26703,0.0993124714651138
"1","2016","Stratum_1"," [kg]",0,0,0
"1","2017","Stratum_1"," [kg]",211464040.733304,35487868.8513826,0.167819874851155
"1","2018","Stratum_1"," [kg]",0,0,0
"1","2019","Stratum_1"," [kg]",229040811.378378,23288814.5915762,0.101679759390578
"1","2020","Stratum_1"," [kg]",0,0,0
"1","2021","Stratum_1"," [kg]",516637769.113696,58904277.6037473,0.114014656158025
