"","str","moose"
"1",3,0
"2",3,0
"3",3,1
"4",3,7
"5",3,5
"6",3,7
"7",3,7
"8",2,13
"9",3,17
"10",3,1
"11",2,7
"12",3,10
"13",2,1
"14",2,0
"15",2,1
"16",3,4
"17",2,8
"18",1,2
"19",2,3
"20",2,0
"21",2,2
"22",1,2
"23",1,2
"24",2,4
"25",1,1
"26",1,1
"27",1,0
"28",3,10
"29",2,4
"30",3,8
"31",2,23
"32",1,1
"33",1,0
"34",1,0
"35",1,0
"36",1,0
"37",1,4
"38",3,2
"39",1,0
"40",1,12
"41",2,3
"42",2,3
"43",2,0
"44",1,1
"45",2,18
"46",2,3
"47",2,2
"48",2,2
"49",2,13
"50",2,1
"51",2,0
"52",2,8
"53",2,10
"54",3,17
"55",1,3
"56",1,3
"57",1,0
"58",1,0
"59",1,0
"60",1,0
"61",1,2
"62",1,0
"63",3,3
"64",1,0
"65",1,1
"66",2,11
"67",1,5
"68",1,17
"69",3,33
"70",2,2
"71",3,8
"72",3,10
"73",1,1
"74",2,0
"75",3,2
"76",3,9
"77",2,2
"78",1,0
"79",2,0
"80",1,0
"81",1,0
"82",1,2
"83",2,1
"84",2,0
"85",2,0
"86",1,3
"87",2,0
"88",2,4
"89",1,0
"90",1,0
"91",1,0
"92",2,10
"93",2,1
"94",2,0
"95",1,0
"96",1,0
"97",2,0
"98",1,0
